county,state_name,best_population_year,population
Alameda County,California,2023,1628997
Alpine County,California,2023,1190
Amador County,California,2023,41412
Butte County,California,2023,207303
Calaveras County,California,2023,46563
Colusa County,California,2023,21914
Contra Costa County,California,2023,1156966
Del Norte County,California,2023,27082
El Dorado County,California,2023,192646
Fresno County,California,2023,1015190
Glenn County,California,2023,28339
Humboldt County,California,2023,135010
Imperial County,California,2023,178713
Inyo County,California,2023,18718
Kern County,California,2023,916108
Kings County,California,2023,152981
Lake County,California,2023,68191
Lassen County,California,2023,29904
Los Angeles County,California,2023,9721138
Madera County,California,2023,160256
Marin County,California,2023,256018
Mariposa County,California,2023,17020
Mendocino County,California,2023,89783
Merced County,California,2023,290014
Modoc County,California,2023,8511
Mono County,California,2023,12978
Monterey County,California,2023,432858
Napa County,California,2023,134300
Nevada County,California,2023,102293
Orange County,California,2023,3151184
Placer County,California,2023,417772
Plumas County,California,2023,19351
Riverside County,California,2023,2473902
Sacramento County,California,2023,1584169
San Benito County,California,2023,67579
San Bernardino County,California,2023,2193656
San Diego County,California,2023,3276208
San Francisco County,California,2023,808437
San Joaquin County,California,2023,793229
San Luis Obispo County,California,2023,282013
San Mateo County,California,2023,729181
Santa Barbara County,California,2023,443837
Santa Clara County,California,2023,1870945
Santa Cruz County,California,2023,264370
Shasta County,California,2023,180930
Sierra County,California,2023,3217
Siskiyou County,California,2023,43660
Solano County,California,2023,448747
Sonoma County,California,2023,482650
Stanislaus County,California,2023,551275
Sutter County,California,2023,98503
Tehama County,California,2023,65245
Trinity County,California,2023,15781
Tulare County,California,2023,477544
Tuolumne County,California,2023,54531
Ventura County,California,2023,832605
Yolo County,California,2023,222115
Yuba County,California,2023,84310
